Economy,Original Group,Group,GDP PPP (B),GDPxr (B),Expenditure Per Capita,ExPCxr,Price Level index,Expenditure Per Capita Index by World,Expenditure Per Capita Index by World XR,Expenditure Per Capita Index by USA,Expenditure Per Capita Index by USA XR,Expenditure Share,Expenditure Share XR,Population Share,PPP,Exchange Rate,Population (M),Local Expenditure (B)
Algeria,AFRICA,Africa,$475,$199,$13195,$5518,53.9,98,52.9,26.5,11.1,0.5,0.3,0.5,30.502,72.938,35.98,14481
Angola,AFRICA,Africa,$143,$104,$7288,$5311,94,54.1,50.9,14.6,10.7,0.2,0.1,0.3,68.315,93.741,19.62,9767.6
Benin,AFRICA,Africa,$16,$7,$1766,$801,58.5,13.1,7.7,3.5,1.6,0,0,0.1,214.035,471.866,9.1,3439.8
Botswana,AFRICA,Africa,$27,$15,$13409,$7381,71,99.6,70.7,26.9,14.8,0,0,0,3.764,6.838,2.03,102.5
Burkina Faso,AFRICA,Africa,$23,$10,$1343,$608,58.4,10,5.8,2.7,1.2,0,0,0.3,213.659,471.866,16.97,4868.5
Burundi,AFRICA,Africa,$6,$2,$712,$240,43.5,5.3,2.3,1.4,0.5,0,0,0.1,425.768,1261.074,8.58,2599.9
Cameroon,AFRICA,Africa,$55,$27,$2757,$1327,62.1,20.5,12.7,5.5,2.7,0.1,0,0.3,227.212,471.866,20.03,12545.7
Cape Verde,AFRICA,Africa,$3,$2,$6126,$3773,79.4,45.5,36.1,12.3,7.6,0,0,0,48.592,78.886,0.5,149
Central African Republic,AFRICA,Africa,$4,$2,$897,$486,69.9,6.7,4.7,1.8,1,0,0,0.1,255.862,471.866,4.49,1029.7
Chad,AFRICA,Africa,$23,$12,$1984,$1053,68.4,14.7,10.1,4,2.1,0,0,0.2,250.443,471.866,11.53,5725.3
Comoros,AFRICA,Africa,$1,$0,$610,$358,75.6,4.5,3.4,1.2,0.7,0,0,0,207.584,353.9,0.75,95.4
Congo Rep.,AFRICA,Africa,$24,$15,$5830,$3575,79.1,43.3,34.2,11.7,7.2,0,0,0.1,289.299,471.866,4.14,6982.5
Congo Dem. Rep.,AFRICA,Africa,$44,$25,$655,$372,73.2,4.9,3.6,1.3,0.7,0,0,1,521.87,919.491,67.76,23146.1
Côte d’Ivoire,AFRICA,Africa,$54,$26,$2669,$1291,62.4,19.8,12.4,5.4,2.6,0.1,0,0.3,228.228,471.866,20.15,12275.5
Djibouti,AFRICA,Africa,$2,$1,$2412,$1276,68.2,17.9,12.2,4.8,2.6,0,0,0,94.003,177.721,0.91,205.3
Egypt Arab Rep.,AFRICA,Africa,$844,$230,$10599,$2888,35.1,78.7,27.7,21.3,5.8,0.9,0.3,1.2,1.625,5.964,79.62,1371.1
Equatorial Guinea,AFRICA,Africa,$28,$18,$39440,$24621,80.5,293,235.9,79.2,49.5,0,0,0,294.572,471.866,0.72,8367.3
Ethiopia,AFRICA,Africa,$103,$30,$1214,$353,37.5,9,3.4,2.4,0.7,0.1,0,1.3,4.919,16.899,84.73,506.1
Gabon,AFRICA,Africa,$25,$17,$16483,$11114,86.9,122.5,106.5,33.1,22.3,0,0,0,318.156,471.866,1.53,8046.1
Gambia The,AFRICA,Africa,$3,$1,$1507,$508,43.5,11.2,4.9,3,1,0,0,0,9.939,29.462,1.78,26.6
Ghana,AFRICA,Africa,$86,$40,$3426,$1585,59.7,25.5,15.2,6.9,3.2,0.1,0.1,0.4,0.699,1.512,24.97,59.8
Guinea,AFRICA,Africa,$13,$5,$1287,$490,49,9.6,4.7,2.6,1,0,0,0.2,2518.386,6620.841,10.22,33128.3
Guinea-Bissau,AFRICA,Africa,$2,$1,$1365,$637,60.1,10.1,6.1,2.7,1.3,0,0,0,220.085,471.866,1.55,464.7
Kenya,AFRICA,Africa,$89,$34,$2136,$825,49.8,15.9,7.9,4.3,1.7,0.1,0,0.6,34.298,88.811,41.61,3048.9
Lesotho,AFRICA,Africa,$5,$3,$2130,$1151,69.7,15.8,11,4.3,2.3,0,0,0,3.923,7.261,2.19,18.3
Liberia,AFRICA,Africa,$2,$1,$537,$278,66.7,4,2.7,1.1,0.6,0,0,0.1,0.517,1,4.13,1.1
Madagascar,AFRICA,Africa,$30,$10,$1412,$470,42.9,10.5,4.5,2.8,0.9,0,0,0.3,673.73,2025.118,21.32,20276.4
Malawi,AFRICA,Africa,$15,$7,$973,$476,63.1,7.2,4.6,2,1,0,0,0.2,76.259,155.776,15.38,1140.8
Mali,AFRICA,Africa,$24,$11,$1509,$672,57.4,11.2,6.4,3,1.4,0,0,0.2,210.193,471.866,15.84,5024.5
Mauritania,AFRICA,Africa,$11,$5,$3191,$1295,52.3,23.7,12.4,6.4,2.6,0,0,0.1,115.855,285.47,3.54,1309.4
Mauritius,AFRICA,Africa,$20,$11,$15506,$8611,71.6,115.2,82.5,31.1,17.3,0,0,0,15.941,28.706,1.31,323
Morocco,AFRICA,Africa,$218,$99,$6764,$3074,58.6,50.2,29.5,13.6,6.2,0.2,0.1,0.5,3.677,8.09,32.27,802.6
Mozambique,AFRICA,Africa,$23,$13,$951,$524,71.1,7.1,5,1.9,1.1,0,0,0.4,16.03,29.068,23.93,364.7
Namibia,AFRICA,Africa,$19,$13,$8360,$5369,82.8,62.1,51.4,16.8,10.8,0,0,0,4.663,7.261,2.32,90.6
Niger,AFRICA,Africa,$14,$6,$852,$399,60.4,6.3,3.8,1.7,0.8,0,0,0.2,221.087,471.866,16.07,3025.5
Nigeria,AFRICA,Africa,$511,$247,$3146,$1520,62.3,23.4,14.6,6.3,3.1,0.6,0.4,2.4,74.378,153.903,162.47,38017
Rwanda,AFRICA,Africa,$15,$6,$1337,$579,55.9,9.9,5.5,2.7,1.2,0,0,0.2,260.751,601.833,10.94,3814.4
São Tomé and Principe,AFRICA,Africa,$1,$0,$3045,$1473,62.4,22.6,14.1,6.1,3,0,0,0,8527.157,17622.933,0.17,4375.5
Senegal,AFRICA,Africa,$29,$14,$2243,$1123,64.6,16.7,10.8,4.5,2.3,0,0,0.2,236.287,471.866,12.77,6766.8
Seychelles,AFRICA,Africa,$2,$1,$22569,$12196,69.7,167.7,116.8,45.3,24.5,0,0,0,6.69,12.381,0.09,13.1
Sierra Leone,AFRICA,Africa,$8,$3,$1369,$490,46.2,10.2,4.7,2.8,1,0,0,0.1,1553.139,4336.129,6,12754.9
South Africa,AFRICA,Africa,$611,$402,$12111,$7963,84.8,90,76.3,24.3,16,0.7,0.6,0.7,4.774,7.261,50.46,2917.5
Sudan,AFRICA,Africa,$152,$70,$3608,$1656,59.2,26.8,15.9,7.2,3.3,0.2,0.1,0.6,1.224,2.667,42.25,186.6
Swaziland,AFRICA,Africa,$8,$4,$6328,$3399,69.3,47,32.6,12.7,6.8,0,0,0,3.9,7.261,1.2,29.7
Tanzania,AFRICA,Africa,$72,$24,$1554,$517,42.9,11.5,4.9,3.1,1,0.1,0,0.7,522.483,1572.115,46.22,37533
Togo,AFRICA,Africa,$8,$4,$1314,$599,58.8,9.8,5.7,2.6,1.2,0,0,0.1,215.06,471.866,6.15,1739.2
Tunisia,AFRICA,Africa,$109,$46,$10319,$4340,54.2,76.7,41.6,20.7,8.7,0.1,0.1,0.2,0.592,1.408,10.59,64.7
Uganda,AFRICA,Africa,$55,$18,$1597,$528,42.6,11.9,5.1,3.2,1.1,0.1,0,0.5,833.54,2522.747,34.51,45944.1
Zambia,AFRICA,Africa,$43,$21,$3155,$1544,63.1,23.4,14.8,6.3,3.1,0,0,0.2,2378.38,4860.667,13.47,101104.8
Zimbabwe,AFRICA,Africa,$18,$9,$1378,$695,65,10.2,6.7,2.8,1.4,0,0,0.2,0.504,1,12.75,8.9
AFRICA,WORLD,World,$4115,$1870,$4044,$1838,58.6,30,17.6,8.1,3.7,4.5,2.7,15.1,,,1017.6,
Bangladesh,ASIA AND THE PACIFIC,Asia,$419,$131,$2800,$874,40.3,20.8,8.4,5.6,1.8,0.5,0.2,2.2,23.145,74.152,149.7,9702.9
Bhutan,ASIA AND THE PACIFIC,Asia,$5,$2,$7199,$2600,46.6,53.5,24.9,14.5,5.2,0,0,0,16.856,46.67,0.71,85.9
Brunei Darussalam,ASIA AND THE PACIFIC,Asia,$29,$17,$74397,$42432,73.5,552.7,406.5,149.4,85.2,0,0,0,0.717,1.258,0.39,21
Cambodia,ASIA AND THE PACIFIC,Asia,$39,$13,$2717,$902,42.8,20.2,8.6,5.5,1.8,0,0,0.2,1347.115,4058.5,14.23,52068.7
China,ASIA AND THE PACIFIC,Asia,$13496,$7322,$10057,$5456,70,74.7,52.3,20.2,11,14.9,10.4,19.9,3.506,6.461,1341.98,47310.4
Fiji,ASIA AND THE PACIFIC,Asia,$7,$4,$7558,$4393,75,56.1,42.1,15.2,8.8,0,0,0,1.042,1.793,0.85,6.7
Hong Kong SAR China,ASIA AND THE PACIFIC,Asia,$355,$249,$50129,$35173,90.5,372.4,337,100.7,70.7,0.4,0.4,0.1,5.462,7.784,7.07,1936.1
